Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-12-19,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-20,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-21,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-22,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-23,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-24,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-25,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-26,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-27,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-28,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-29,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-30,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2014-12-31,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-01,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-02,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-03,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-04,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-05,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-06,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-07,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-08,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-09,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-10,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-11,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-12,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-13,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-14,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-15,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-16,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-17,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-18,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-19,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-20,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-21,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-22,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-23,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-24,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-25,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-26,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-27,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-28,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-29,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-30,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-01-31,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-01,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-02,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-03,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-04,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-05,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-06,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-07,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-08,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-09,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-10,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-11,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-12,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-13,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-14,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-15,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-16,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-17,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-18,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-19,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-20,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-21,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-22,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-23,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-24,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-25,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-26,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-27,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-02-28,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-01,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-02,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-03,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-04,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-05,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-06,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-07,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-08,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-09,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-10,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-11,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-12,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-13,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-14,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-15,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-16,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-17,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-18,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-19,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-20,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-21,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-22,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-23,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-24,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-25,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-26,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-27,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-28,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-29,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-30,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-03-31,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-01,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-02,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-03,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-04,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-05,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-06,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-07,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-08,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-09,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-10,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-11,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-12,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-13,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-14,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-15,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-16,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-17,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-18,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-19,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-20,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-21,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-22,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-23,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-24,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-25,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-26,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-27,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-28,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-29,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-04-30,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-01,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-02,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-03,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-04,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-05,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-06,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-07,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-08,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-09,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-10,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-11,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-12,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-13,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-14,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-15,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-16,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-17,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-18,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-19,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-20,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-21,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-22,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-23,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-24,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-25,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-26,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-27,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-28,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-29,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-30,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-05-31,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-01,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-02,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-03,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-04,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-05,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-06,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-07,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-08,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-09,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-10,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-11,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-12,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-13,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-14,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-15,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-16,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-17,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-18,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-19,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-20,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-21,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-22,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-23,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-24,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-25,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-26,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-27,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-28,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-29,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-06-30,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
2015-07-01,1.0,31.0,2759.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-0.0,-0.0,0.0,11.30391
